id,validation_decision,expert_corrected_sources,expert_corrected_ground_truth,expert_notes,category,level,skill,language,type,difficulty,question,ground_truth,expected_sources,split,current_validation_status
d01,,,,,double_correction,general,general,tr,factoid,easy,DELF/DALF'ta epreuvelerin güvenilirliği ve geçerliliği için kaç değerlendirici görevlendirilir?,"Çift değerlendirme (double évaluation) uygulanır: bireysel epreuvede (production orale) 2 examinateur, kolektif epreuvelerde (yazılı bölümler) 2 correcteur görev alır. Amaç değerlendirmenin fidélité (güvenilirlik) ve validité (geçerlilik) sağlamaktır.",manuel-exacor.pdf; Diaporama_rôle_EC_VF.pptx,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d02,,,,,double_correction,general,general,tr,procedural,hard,İkinci düzeltici (correcteur n°2) bir kopyayı düzeltirken hangi rengi kullanmalı ve hangi üç durumla karşılaşabilir?,"İkinci düzeltici, birinci düzelticininkinden farklı renkte bir kalem kullanır. Üç durum vardır: (1) iki düzeltici arasında hiçbir fark yoksa harmonizasyon gerekmez, ikinci düzeltici notu görünür bir işaretle onaylar; (2) puan sayımı/hesabında hata veya açık bir barem hatası varsa ikinci düzeltici hatayı çizip puanı ve toplam notu düzeltir; (3) bir görüş ayrılığı (désaccord) varsa ilgili sorular kurşun kalemle soru işaretiyle işaretlenir ve iki düzeltici arasında harmonizasyon/concertation yapılır.",manuel-exacor.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d03,,,,,methodologie,general,PE,tr,procedural,medium,Üretilen yazıda kelime sayımı (décompte des mots) nasıl yapılır ve hangi öğeler sayılır?,"Adayın ürettiği her şey — adayın çizdiği/karaladığı sözcükler hariç — kelime sayımına dahil edilir; buna tarih, mektubun konusu (objet), imza gibi öğeler de girer ve bu kural A1'den C2'ye tüm seviyeler için geçerlidir. Örnek sayım kuralları: «un sujet» = 2 kelime, «c'est-à-dire» = 1 kelime, «je l'ai vu avant-hier» = 4 kelime.",manuel-exacor.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d04,,,,,methodologie,general,PE,tr,factoid,medium,Minimum kelime sayısına uyulmaması değerlendirmede nasıl bir sonuç doğurur?,Üretilmesi gereken minimum kelime sayısına uyulmaması puan açısından bir yaptırıma (sanction) yol açabilir; bunun kesin göstergeleri değerlendirme grilinde «anomalies» (anormallikler) bölümünde belirtilir.,manuel-exacor.pdf; Introduction_critères_corriges.docx,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d05,,,,,copie,general,PE,tr,analytical,hard,Tam hors-sujet (hem tematik hem söylemsel konu dışı) bir kopya nasıl puanlanır?,"Tam hors-sujet durumunda aday; Réalisation de la tâche, Cohérence et cohésion ve Adéquation sociolinguistique kriterlerinden 0 alır. Lexique ve Morphosyntaxe kriterlerinde ise aday ne «Au niveau» ne de «Au niveau +» olarak tanımlanabilir.",manuel-exacor.pdf; Présentation_copies_atypiques_VF.pptx,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d06,,,,,grille,B2,PO,tr,factoid,easy,DELF B2 sözlü üretim (production orale) sınavında iki bölümün süreleri nedir?,"DELF B2 production orale iki bölümden oluşur: monologue suivi (sürekli monolog) 5 ila 7 dakika, exercice en interaction (etkileşimli alıştırma) ise 10 ila 13 dakika sürer.",B2_Grille_PO.pdf; PO_B2.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d07,,,,,grille,B2,PO,tr,factoid,medium,DELF B2 production orale değerlendirme grilinde kriterler hangi puanlarla derecelendirilir?,"B2 production orale grilinde her kriter 0, 1, 3 ve 5 puan basamaklarıyla derecelendirilir (Non répondu / En dessous du niveau ciblé / Au niveau ciblé B2 / B2+). Kriterler arasında Réalisation de la tâche (monologue suivi ve exercice en interaction), Lexique ve Morphosyntaxe yer alır.",B2_Grille_PO.pdf; PO_B2.pdf,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d08,,,,,descripteur,A1,PO,tr,definition,medium,A1 seviyesinde sözlü üretimin ilk görevi olan yönlendirilmiş görüşmede (entretien dirigé) adaydan ne beklenir?,"A1 entretien dirigé görevinde adayın kendini tanıtması ve kimliği ile yakın çevresi (isim, yaş, aile, milliyet vb.) hakkında basit terimlerle, art arda sıralanmış (juxtaposées) fikirler biçiminde konuşabilmesi beklenir. Hedef seviyede aday basit ve öngörülebilir sorulara yanıt verebilir; bazı sorular anlaşılmayabilir.",A1_Descripteurs_PO.pdf; A1_Grille_PO.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d09,,,,,descripteur,general,general,tr,definition,easy,CECRL küresel ölçeğine (échelle globale) göre A1 seviyesindeki bir kullanıcı neler yapabilir?,"A1 kullanıcısı somut ihtiyaçları karşılamaya yönelik tanıdık ve günlük ifadeleri ve çok basit cümleleri anlayıp kullanabilir; kendini veya başkasını tanıtabilir, bir kişiye yaşadığı yer, ilişkileri, sahip oldukları gibi konularda sorular sorabilir ve aynı türden sorulara yanıt verebilir; muhatabı yavaş ve net konuşursa basit biçimde iletişim kurabilir.",Echelle globale.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d10,,,,,double_correction,general,general,fr,factoid,easy,"Combien de correcteurs interviennent dans la double évaluation des épreuves du DELF/DALF, et pourquoi ?",La double évaluation prévoit 2 examinateurs pour l'épreuve individuelle (production orale) et 2 correcteurs pour les épreuves collectives (écrites). Ce dispositif vise à garantir la fidélité et la validité des évaluations.,manuel-exacor.pdf; Diaporama_rôle_EC_VF.pptx,dev,UNVALIDATED_NEEDS_DELF_EXPERT
